idX,centerX,YearX,prec,flex,resl,team,pmat,rely,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sced,Kloc+,Effort-,Defects-,Months-
0,1,1979.0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,25.9,117.6,808.0,15.3
1,1,1979.0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,24.6,117.6,767.0,15.0
2,1,1979.0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,7.7,31.2,240.0,10.1
3,1,1979.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,8.2,36.0,256.0,10.4
4,1,1979.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,9.7,25.2,302.0,11.0
5,1,1979.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,2.2,8.4,69.0,6.6
6,1,1979.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,3.5,10.8,109.0,7.8
7,1,1982.0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,2,2,0,1,0,0,66.6,352.8,2077.0,21.0
8,0,1980.0,1,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,2,0,0,0,1,7.5,72.0,226.0,13.6
9,0,1980.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,2,0,3,2,0,1,0,1,20.0,72.0,566.0,14.4
10,0,1984.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,3,2,0,1,0,1,6.0,24.0,188.0,9.9
11,0,1980.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,2,0,3,2,0,1,0,1,100.0,360.0,2832.0,25.2
12,0,1985.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,1,0,3,2,1,1,0,1,11.3,36.0,456.0,12.8
13,0,1980.0,1,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,1,3,1,0,1,100.0,215.0,5434.0,30.1
14,0,1983.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,3,2,0,1,0,1,20.0,48.0,626.0,15.1
15,0,1982.0,1,0,0,0,2,2,1,0,0,0,1,1,1,0,1,0,2,2,3,1,0,1,100.0,360.0,4342.0,28.0
16,0,1980.0,1,0,0,0,2,2,1,0,0,0,1,3,1,0,2,0,3,2,0,1,0,1,150.0,324.0,4868.0,32.5
